canonical_label,path_a,source_a,path_b,source_b,phash_distance,ahash_distance
Benign,D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\BenginCases\Bengin case (101).jpg,CT Scan Images for Lung Cancer (Dishan rathi20),D:\skripsi\Dataset\CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)\Benign cases\Benign cases  (101).jpg,CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ),0,0
Benign,D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\BenginCases\Bengin case (101).jpg,CT Scan Images for Lung Cancer (Dishan rathi20),D:\skripsi\Dataset\IQ-OTHNCCD - Lung Cancer Dataset (Aditya Mahimkar)\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (101).jpg,IQ-OTHNCCD - Lung Cancer Dataset (Aditya Mahimkar),0,0
Benign,D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\BenginCases\Bengin case (101).jpg,CT Scan Images for Lung Cancer (Dishan rathi20),D:\skripsi\Dataset\Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes)\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (101).jpg,Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),0,0
Benign,D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\BenginCases\Bengin case (101).jpg,CT Scan Images for Lung Cancer (Dishan rathi20),D:\skripsi\Dataset\The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )\Bengin cases\Bengin case (101).jpg,The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),0,0
Benign,D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\Bengin cases\Bengin case (53).jpg,CT Scan Images for Lung Cancer (Dishan rathi20),D:\skripsi\Dataset\CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)\Benign cases\Benign cases  (17).jpg,CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ),0,0
Benign,D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\Bengin cases\Bengin case (53).jpg,CT Scan Images for Lung Cancer (Dishan rathi20),D:\skripsi\Dataset\CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)\Benign cases\Benign cases  (18).jpg,CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ),2,1
Benign,D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\Bengin cases\Bengin case (53).jpg,CT Scan Images for Lung Cancer (Dishan rathi20),D:\skripsi\Dataset\IQ-OTHNCCD - Lung Cancer Dataset (Aditya Mahimkar)\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (53).jpg,IQ-OTHNCCD - Lung Cancer Dataset (Aditya Mahimkar),0,0
Benign,D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\Bengin cases\Bengin case (53).jpg,CT Scan Images for Lung Cancer (Dishan rathi20),D:\skripsi\Dataset\IQ-OTHNCCD - Lung Cancer Dataset (Aditya Mahimkar)\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (54).jpg,IQ-OTHNCCD - Lung Cancer Dataset (Aditya Mahimkar),2,1
Benign,D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\Bengin cases\Bengin case (53).jpg,CT Scan Images for Lung Cancer (Dishan rathi20),D:\skripsi\Dataset\Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes)\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (53).jpg,Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),0,0
Benign,D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\Bengin cases\Bengin case (53).jpg,CT Scan Images for Lung Cancer (Dishan rathi20),D:\skripsi\Dataset\Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes)\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (54).jpg,Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),2,1
