path,source_dataset,raw_folder,filename,canonical_label,subtype,is_labeled,is_synthetic_source,corrupt,width,height,aspect_ratio,phash,phash_int,ahash,md5,case_key,group_root,group_id,group_size,label_conflict,group_sources,cross_dataset_duplicate
D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\normal\10 (2) - Copy.png,Chest CT-Scan images Dataset (Mohamed Hany),test/normal,10 (2) - Copy.png,Normal,Normal,True,False,False,371,251,1.478,d10757396a386dd4,15062103382870748628,047e72dbdbdb7e74,5f468089b5597b4873412a1562d1c830,Chest CT-Scan images Dataset (Mohamed Hany)|test/normal::10,179,53,2017,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|IQ-OTHNCCD - Lung Cancer Dataset (Aditya Mahimkar)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes)|The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),True
D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\normal\10 (2).png,Chest CT-Scan images Dataset (Mohamed Hany),test/normal,10 (2).png,Normal,Normal,True,False,False,371,251,1.478,d10757396a386dd4,15062103382870748628,047e72dbdbdb7e74,5f468089b5597b4873412a1562d1c830,Chest CT-Scan images Dataset (Mohamed Hany)|test/normal::10,179,53,2017,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|IQ-OTHNCCD - Lung Cancer Dataset (Aditya Mahimkar)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes)|The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),True
D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\normal\10 - Copy (2) - Copy.png,Chest CT-Scan images Dataset (Mohamed Hany),test/normal,10 - Copy (2) - Copy.png,Normal,Normal,True,False,False,371,251,1.478,c107573b6a386dd4,13909181886853836244,007e72d3dbcb7e74,60649ff70c9ea03e0ab227620379026f,Chest CT-Scan images Dataset (Mohamed Hany)|test/normal::10,179,53,2017,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|IQ-OTHNCCD - Lung Cancer Dataset (Aditya Mahimkar)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes)|The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),True
D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\normal\10 - Copy (2).png,Chest CT-Scan images Dataset (Mohamed Hany),test/normal,10 - Copy (2).png,Normal,Normal,True,False,False,371,251,1.478,c107573b6a386dd4,13909181886853836244,007e72d3dbcb7e74,60649ff70c9ea03e0ab227620379026f,Chest CT-Scan images Dataset (Mohamed Hany)|test/normal::10,179,53,2017,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|IQ-OTHNCCD - Lung Cancer Dataset (Aditya Mahimkar)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes)|The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),True
D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\normal\10 - Copy (3).png,Chest CT-Scan images Dataset (Mohamed Hany),test/normal,10 - Copy (3).png,Normal,Normal,True,False,False,371,251,1.478,d107533b6a386dd4,15062098993414172116,047e72d3dbcb7e74,6d22297f0784fb1a73b92a772fbddd26,Chest CT-Scan images Dataset (Mohamed Hany)|test/normal::10,179,53,2017,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|IQ-OTHNCCD - Lung Cancer Dataset (Aditya Mahimkar)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes)|The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),True
D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\normal\10 - Copy - Copy.png,Chest CT-Scan images Dataset (Mohamed Hany),test/normal,10 - Copy - Copy.png,Normal,Normal,True,False,False,371,251,1.478,d107533b6a386dd4,15062098993414172116,047e72d3dbcb7e74,fc2e5247b58037186b2bd164431e9ac3,Chest CT-Scan images Dataset (Mohamed Hany)|test/normal::10,179,53,2017,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|IQ-OTHNCCD - Lung Cancer Dataset (Aditya Mahimkar)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes)|The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),True
D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\normal\10 - Copy.png,Chest CT-Scan images Dataset (Mohamed Hany),test/normal,10 - Copy.png,Normal,Normal,True,False,False,371,251,1.478,d107533b6a386dd4,15062098993414172116,047e72d3dbcb7e74,fc2e5247b58037186b2bd164431e9ac3,Chest CT-Scan images Dataset (Mohamed Hany)|test/normal::10,179,53,2017,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|IQ-OTHNCCD - Lung Cancer Dataset (Aditya Mahimkar)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes)|The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),True
D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\normal\10.png,Chest CT-Scan images Dataset (Mohamed Hany),test/normal,10.png,Normal,Normal,True,False,False,371,251,1.478,d107533b6a386dd4,15062098993414172116,047e72d3dbcb7e74,6d22297f0784fb1a73b92a772fbddd26,Chest CT-Scan images Dataset (Mohamed Hany)|test/normal::10,179,53,2017,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|IQ-OTHNCCD - Lung Cancer Dataset (Aditya Mahimkar)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes)|The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),True
D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\normal\11 (2) - Copy.png,Chest CT-Scan images Dataset (Mohamed Hany),test/normal,11 (2) - Copy.png,Normal,Normal,True,False,False,440,345,1.275,9b12456d47a67e92,11174069961115467410,3c189d9d8999ff3c,90ccb4073ded5177d7b9dac7158b928d,Chest CT-Scan images Dataset (Mohamed Hany)|test/normal::11,179,53,2017,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|IQ-OTHNCCD - Lung Cancer Dataset (Aditya Mahimkar)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes)|The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),True
D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\normal\11 (2).png,Chest CT-Scan images Dataset (Mohamed Hany),test/normal,11 (2).png,Normal,Normal,True,False,False,440,345,1.275,9b12456d47a67e92,11174069961115467410,3c189d9d8999ff3c,90ccb4073ded5177d7b9dac7158b928d,Chest CT-Scan images Dataset (Mohamed Hany)|test/normal::11,179,53,2017,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|IQ-OTHNCCD - Lung Cancer Dataset (Aditya Mahimkar)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes)|The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),True
