path,source_dataset,raw_folder,filename,canonical_label,subtype,is_labeled,is_synthetic_source,corrupt,width,height,aspect_ratio,phash,phash_int,ahash,md5,case_key,group_root,group_id,group_size,label_conflict,group_sources,cross_dataset_duplicate,matches_real_pool_md5,matches_real_pool_phash
D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000108 (3).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000108 (3).png,Malignant,Adenocarcinoma,True,False,False,381,282,1.351,d033466d3b343dd1,15002412218659913169,003c5e5edada5a3c,7ef1068051800dd7d290a46a29536a0d,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000108,951.0,233,28,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,,
D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000109 (2).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000109 (2).png,Malignant,Adenocarcinoma,True,False,False,486,335,1.451,91a14ece687b2f31,10493755255173099313,307e6e5e5e7e1800,3e3e3c3547262bf1bbe22103c35bf8c6,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000109,1.0,0,27,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,,
D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000109 (4).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000109 (4).png,Malignant,Adenocarcinoma,True,False,False,483,357,1.353,c4d83bc76d396470,14184152754120385648,003c5adafa7e1c00,bc495a958a42f9784b0143c8436b449c,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000109,1.0,0,27,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,,
D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000109 (5).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000109 (5).png,Malignant,Adenocarcinoma,True,False,False,456,406,1.123,999846c7697ec478,11067673906545345656,1c1c5edf4b7e0000,d59879ee8cd67875a0fb477359022516,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000109,1.0,0,27,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,,
D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000112 (2).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000112 (2).png,Malignant,Adenocarcinoma,True,False,False,464,328,1.415,85e15e0f69de2531,9647095297097999665,007e7e5b7a7e3c00,b10181ce96004c7ce699ce29855cce19,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000112,4.0,1,3,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany),True,,
D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000113 (7).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000113 (7).png,Malignant,Adenocarcinoma,True,False,False,485,340,1.426,c4d81b836d3b7c64,14184117277690657892,007cdadafa7e0000,39a7092441231ce1003a31ee16fcd57a,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000113,124.0,30,36,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,,
D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000114 (5).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000114 (5).png,Malignant,Adenocarcinoma,True,False,False,379,309,1.227,94b143456fce343b,10714418953998709819,265ede9fda5a3c00,ac6400c79a496bd2ab52e62fcad89665,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000114,939.0,230,31,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,,
D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000114.png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000114.png,Malignant,Adenocarcinoma,True,False,False,439,260,1.688,d0f00bca3d8f6c3c,15055546517543676988,387c5e5e5e7c3c00,03f52753fcdd8cb4c5718b78e176f7ca,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000114,939.0,230,31,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,,
D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000115 (4).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000115 (4).png,Malignant,Adenocarcinoma,True,False,False,460,389,1.183,91925ecf64ce4969,10489550726941788521,3c3e5e5f4b3e3c00,7c354fe3d6c871935838259a5e7a82f5,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000115,941.0,231,35,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,,
D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000115 (8).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000115 (8).png,Malignant,Adenocarcinoma,True,False,False,444,320,1.387,81a11ed6396b7669,9340781007578297961,3c7e5b4b7a7e1800,0d1003c80b08cdbd1af8871b65c49df8,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000115,941.0,231,35,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,,
