group_id,path,source_dataset,raw_folder,filename,canonical_label,subtype,is_labeled,is_synthetic_source,corrupt,width,height,aspect_ratio,phash,phash_int,ahash,md5,case_key,group_root,group_size,label_conflict,group_sources,cross_dataset_duplicate,split_group,split,fold
1,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000112 (2).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000112 (2).png,Malignant,Adenocarcinoma,True,False,False,464,328,1.415,85e15e0f69de2531,9647095297097999665,007e7e5b7a7e3c00,b10181ce96004c7ce699ce29855cce19,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000112,4,3,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::22,trainval,0
2,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000119 (5).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000119 (5).png,Malignant,Adenocarcinoma,True,False,False,475,397,1.196,c1c91e96e94fcc38,13963725753147182136,3c5e5afbfb7e0000,ea0203ead960b13f81b8f9abb05e267c,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000119,19,12,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::23,trainval,3
3,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000123 (6).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000123 (6).png,Malignant,Adenocarcinoma,True,False,False,468,332,1.41,c1c45e9729397d64,13962388748080086372,007edadb7b7e0000,3a2f82aa55bdf7fd7ed204284c83567c,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000123,28,16,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::24,trainval,4
5,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000131 (2).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000131 (2).png,Malignant,Adenocarcinoma,True,False,False,483,362,1.334,95a26e6f689a2999,10782301882653747609,003e7e7e7e3e3c00,321d3c24b345bba95e0567fc9ecc4e97,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000131,44,16,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::26,trainval,4
6,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000132 (2).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000132 (2).png,Malignant,Adenocarcinoma,True,False,False,490,303,1.617,c06f2ff43093c69c,13866354503530563228,003c7c7e7e7c3c00,c9275f6d759e1e7e4919183629ce1c27,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000132,45,20,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::26,trainval,4
7,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000133 (4).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000133 (4).png,Malignant,Adenocarcinoma,True,False,False,478,359,1.331,91a16e4e6c3a3f31,10493789889852227377,307e4e5e7e3e1800,2d534482c81f301cd72de76b9f78e117,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000133,49,44,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::26,trainval,4
8,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\squamous.cell.carcinoma\000134 (5).png,Chest CT-Scan images Dataset (Mohamed Hany),test/squamous.cell.carcinoma,000134 (5).png,Malignant,SquamousCellCarcinoma,True,False,False,485,339,1.431,90e94f47393a656c,10441964378356606316,007effdf7f7e0400,95c5d356e365e780d32cd8814ca5e1ae,Chest CT-Scan images Dataset (Mohamed Hany)|test/squamous.cell.carcinoma::000134,51,16,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/squamous.cell.carcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/squamous.cell.carcinoma::26,trainval,1
12,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000140.png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000140.png,Malignant,Adenocarcinoma,True,False,False,456,315,1.448,d46d3f90e893d624,15306960600112027172,00007e7e7e7e2400,3defa64c73cd052489155781a3a40526,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000140,67,4,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::28,trainval,2
13,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000143 (6).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000143 (6).png,Malignant,Adenocarcinoma,True,False,False,476,356,1.337,85a17a5e75399a85,9629112024407054981,00767f7f7e3c0000,e317600261e79c99a3b7ceec1a4eb5e8,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000143,70,12,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::28,trainval,2
14,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000144 (2).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000144 (2).png,Malignant,Adenocarcinoma,True,False,False,499,320,1.559,85e17e5e69383c31,9647130820761631793,003e7f6b2a3e1c00,860129c9896815c8d568325fe6d54a4e,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000144,72,12,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::28,trainval,2
15,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000146 (3).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000146 (3).png,Malignant,Adenocarcinoma,True,False,False,479,357,1.342,d1c16e4e7c794e30,15114483107806924336,207e6ede7e3c0000,e83ed3ad16b21d2c0e5e1bdc695d53bd,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000146,75,12,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::29,trainval,3
16,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000149 (4).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000149 (4).png,Malignant,Adenocarcinoma,True,False,False,480,351,1.368,d1c16e4e6c794e70,15114483107538488944,307e7efe7e3c0000,c87642ca196ddc7e23edbb0d5a07eac1,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000149,82,16,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::29,trainval,3
17,D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\test\adenocarcinoma\000157 (5).png,Chest CT-Scan images Dataset (Mohamed Hany),test/adenocarcinoma,000157 (5).png,Malignant,Adenocarcinoma,True,False,False,487,413,1.179,c1c91e96e96e9c31,13963725753149201457,183c5afb7b7e0000,d3e68137d850df6910316b0289cf1fe3,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::000157,90,12,False,CT Scan Images for Lung Cancer (Dishan rathi20)|CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Chest CT-Scan images Dataset (Mohamed Hany)|Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),True,Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma|Chest CT-Scan images Dataset (Mohamed Hany)|test/adenocarcinoma::31,trainval,3
