model,f1_fase_A,f1_fase_B,acc_fase_A,acc_fase_B,rec_fase_A,rec_fase_B,delta_f1
efficientnet_b0_fold0,0.6636497295,0.6693711122,0.7309160305,0.7309160305,0.7573099415,0.730994152,0.0057213826999999995
efficientnet_b0_fold1,0.6376654738,0.6412971893,0.7183908046,0.7068965517,0.7331378299,0.7038123167,0.0036317154999999657
efficientnet_b0_fold2,0.6441125286,0.6547659958,0.7337164751,0.7222222222,0.8274853801,0.7426900585,0.010653467199999933
efficientnet_b0_fold3,0.6685639301,0.6540385393,0.7605363985,0.7164750958,0.8011695906,0.7046783626,-0.014525390800000038
efficientnet_b0_fold4,0.6707892882,0.6987907697,0.7796934866,0.754789272,0.8274853801,0.7485380117,0.028001481500000036
resnet50_fold0,0.6834842932,0.7132955174,0.7729007634,0.7805343511,0.9152046784,0.798245614,0.02981122419999993
resnet50_fold1,0.6314163188,0.6878827494,0.7298850575,0.7816091954,0.8211143695,0.8269794721,0.056466430600000006
resnet50_fold2,0.6583932673,0.6775669922,0.7586206897,0.745210728,0.8684210526,0.769005848,0.019173724900000022
resnet50_fold3,0.6654443412,0.7070331145,0.754789272,0.775862069,0.8245614035,0.8011695906,0.04158877329999999
resnet50_fold4,0.6834848637,0.7370090393,0.7777777778,0.8026819923,0.8976608187,0.8099415205,0.0535241756
