model,f1_fase_A,f1_fase_B,acc_fase_A,acc_fase_B,rec_fase_A,rec_fase_B,delta_f1
efficientnet_b0_fold0,0.7113997114,0.7060321824,0.7716701903,0.7716701903,0.7703927492,0.7734138973,-0.0053675290000000375
efficientnet_b0_fold1,0.6188281852,0.7046643558,0.7194092827,0.7447257384,0.7613293051,0.7160120846,0.08583617059999993
efficientnet_b0_fold2,0.6822398676,0.7147517566,0.7552742616,0.7658227848,0.752265861,0.749244713,0.032511889000000016
efficientnet_b0_fold3,0.660239605,0.7193517889,0.7510548523,0.7827004219,0.7824773414,0.7854984894,0.05911218389999995
efficientnet_b0_fold4,0.6399817052,0.6689369362,0.6772151899,0.7151898734,0.6374622356,0.6888217523,0.02895523100000008
resnet50_fold0,0.7059447094,0.7564513461,0.7716701903,0.8076109937,0.7794561934,0.8157099698,0.050506636699999996
resnet50_fold1,0.6563373536,0.7299714241,0.7172995781,0.776371308,0.7099697885,0.7643504532,0.07363407050000004
resnet50_fold2,0.726796257,0.735006651,0.8143459916,0.7995780591,0.8549848943,0.8157099698,0.00821039400000001
resnet50_fold3,0.6693490404,0.7301339909,0.7405063291,0.7974683544,0.749244713,0.8066465257,0.06078495049999999
resnet50_fold4,0.6313104102,0.6878096868,0.7046413502,0.7700421941,0.7190332326,0.8066465257,0.05649927659999998
