model,f1_fase_A,f1_fase_B,acc_fase_A,acc_fase_B,rec_fase_A,rec_fase_B,delta_f1
efficientnet_b0_fold0,0.6991782544,0.7153958589,0.7674418605,0.7674418605,0.7703927492,0.7643504532,0.016217604499999982
efficientnet_b0_fold1,0.6415887494,0.6847170936,0.6751054852,0.7194092827,0.6404833837,0.6858006042,0.0431283442
efficientnet_b0_fold2,0.6883740414,0.7102343679,0.7383966245,0.7637130802,0.7190332326,0.7552870091,0.021860326500000027
efficientnet_b0_fold3,0.6816319645,0.7255682406,0.7510548523,0.7953586498,0.7613293051,0.8217522659,0.04393627610000006
efficientnet_b0_fold4,0.6189423045,0.6521597552,0.6708860759,0.6962025316,0.6465256798,0.6586102719,0.03321745070000004
resnet50_fold0,0.7148093642,0.7244292041,0.7758985201,0.799154334,0.7794561934,0.8277945619,0.009619839900000038
resnet50_fold1,0.6877124855,0.7219799623,0.7616033755,0.7953586498,0.7824773414,0.8157099698,0.034267476800000085
resnet50_fold2,0.7088058734,0.7586463939,0.7805907173,0.8164556962,0.7915407855,0.8217522659,0.049840520499999985
resnet50_fold3,0.6945600083,0.7306847614,0.7721518987,0.8185654008,0.7854984894,0.8761329305,0.03612475310000007
resnet50_fold4,0.6205221046,0.733744159,0.7109704641,0.8227848101,0.7401812689,0.8791540785,0.1132220544
