path,canonical_label,split_group,source_dataset,label_origin,true_label,pred_label,pred_confidence
D:\skripsi\Dataset\The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )\Normal cases\Normal case (10).jpg,Normal,KAGGLE::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )|Normal cases::10,Kaggle::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),folder,Normal,Benign,0.676628988981247
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\Bengin cases\Bengin case (33).jpg,Benign,KAGGLE::CT Scan Images for Lung Cancer (Dishan rathi20)|Data/train/Bengin cases::33,Kaggle::CT Scan Images for Lung Cancer (Dishan rathi20),folder,Benign,Normal,0.6458747625350953
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\Bengin cases\Bengin case (32).jpg,Benign,KAGGLE::CT Scan Images for Lung Cancer (Dishan rathi20)|Data/train/Bengin cases::32,Kaggle::CT Scan Images for Lung Cancer (Dishan rathi20),folder,Benign,Normal,0.8812143921852111
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\Malignant cases\Malignant case (417).jpg,Malignant,KAGGLE::CT Scan Images for Lung Cancer (Dishan rathi20)|Data/train/Malignant cases::417,Kaggle::CT Scan Images for Lung Cancer (Dishan rathi20),folder,Malignant,Normal,0.6247558355331422
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\normal\Normal case (38).jpg,Normal,KAGGLE::CT Scan Images for Lung Cancer (Dishan rathi20)|Data/test/normal::38,Kaggle::CT Scan Images for Lung Cancer (Dishan rathi20),folder,Normal,Benign,0.6893085479736328
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\normal\Normal case (192).jpg,Normal,KAGGLE::CT Scan Images for Lung Cancer (Dishan rathi20)|Data/train/normal::192,Kaggle::CT Scan Images for Lung Cancer (Dishan rathi20),folder,Normal,Benign,0.4883693635463715
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\normal\Normal case (399).jpg,Normal,KAGGLE::CT Scan Images for Lung Cancer (Dishan rathi20)|Data/train/normal::399,Kaggle::CT Scan Images for Lung Cancer (Dishan rathi20),folder,Normal,Benign,0.6408567547798157
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\normal\Normal case (48).jpg,Normal,KAGGLE::CT Scan Images for Lung Cancer (Dishan rathi20)|Data/test/normal::48,Kaggle::CT Scan Images for Lung Cancer (Dishan rathi20),folder,Normal,Benign,0.6323074162006378
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\test\normal\Normal case (33).jpg,Normal,KAGGLE::CT Scan Images for Lung Cancer (Dishan rathi20)|Data/test/normal::33,Kaggle::CT Scan Images for Lung Cancer (Dishan rathi20),folder,Normal,Benign,0.5773223996162414
D:\skripsi\Dataset\The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )\Bengin cases\Bengin case (89).jpg,Benign,KAGGLE::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )|Bengin cases::89,Kaggle::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),folder,Benign,Normal,0.7489817738533021
D:\skripsi\Dataset\The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )\Bengin cases\Bengin case (103).jpg,Benign,KAGGLE::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )|Bengin cases::103,Kaggle::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),folder,Benign,Normal,0.791993898153305
D:\skripsi\Dataset\CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)\Normal cases\Normal cases (76).png,Normal,KAGGLE::CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|Normal cases::76,Kaggle::CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ),folder,Normal,Malignant,0.5069404900074005
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\squamous.cell.carcinoma_left.hilum_T1_N2_M0_IIIa\sq2.png,Malignant,KAGGLE::CT Scan Images for Lung Cancer (Dishan rathi20)|Data/train/squamous.cell.carcinoma_left.hilum_T1_N2_M0_IIIa::2,Kaggle::CT Scan Images for Lung Cancer (Dishan rathi20),folder,Malignant,Normal,0.8247100830078125
D:\skripsi\Dataset\Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes)\The IQ-OTHNCCD lung cancer dataset\Malignant cases\ad22.png,Malignant,KAGGLE::Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes)|The IQ-OTHNCCD lung cancer dataset/Malignant cases::22,Kaggle::Lung cancer dataset (IQ-OTHNCCD)(Waseim Nagah Hennes),folder,Malignant,Normal,0.652288818359375
D:\skripsi\Dataset\CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)\adenocarcinoma\adenocarcinoma (171).png,Malignant,KAGGLE::CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ)|adenocarcinoma::171,Kaggle::CT Scan Images of Lung Cancer Patients.(MD. NAFEES IMTIAZ),folder,Malignant,Normal,0.6208392143249511
D:\skripsi\Dataset\Chest CT-Scan images Dataset (Mohamed Hany)\train\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\ad12.png,Malignant,KAGGLE::Chest CT-Scan images Dataset (Mohamed Hany)|train/adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib::12,Kaggle::Chest CT-Scan images Dataset (Mohamed Hany),folder,Malignant,Normal,0.5563351929187775
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.110678335949765929063942738609.png,Malignant,LIDC::LIDC-IDRI-0606,LIDC-IDRI,radiolog+patologi,Malignant,Normal,0.3585758060216904
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.118140393257625250121502185026.png,Malignant,LIDC::LIDC-IDRI-0973,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.7849099636077881
D:\skripsi\Dataset\lidc-idri-images-full\Benign\1.3.6.1.4.1.14519.5.2.1.6279.6001.119304665257760307862874140576.png,Benign,LIDC::LIDC-IDRI-0951,LIDC-IDRI,radiolog+patologi,Benign,Malignant,0.5442707419395447
D:\skripsi\Dataset\lidc-idri-images-full\Malignant\1.3.6.1.4.1.14519.5.2.1.6279.6001.121108220866971173712229588402.png,Malignant,LIDC::LIDC-IDRI-0350,LIDC-IDRI,radiolog+patologi,Malignant,Benign,0.4590748310089111
