path,canonical_label,split_group,source_dataset,label_origin,true_label,pred_label,pred_confidence
D:\skripsi\Dataset\The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )\Normal cases\Normal case (12).jpg,Normal,KAGGLE::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )|Normal cases::12,Kaggle::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),folder,Normal,Benign,0.575977087020874
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\Bengin cases\Bengin case (48).jpg,Benign,KAGGLE::CT Scan Images for Lung Cancer (Dishan rathi20)|Data/train/Bengin cases::48,Kaggle::CT Scan Images for Lung Cancer (Dishan rathi20),folder,Benign,Normal,0.6445613443851471
D:\skripsi\Dataset\The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )\Normal cases\Normal case (279).jpg,Normal,KAGGLE::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )|Normal cases::279,Kaggle::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),folder,Normal,Benign,0.7152463912963867
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\Malignant cases\Malignant case (421).jpg,Malignant,KAGGLE::CT Scan Images for Lung Cancer (Dishan rathi20)|Data/train/Malignant cases::421,Kaggle::CT Scan Images for Lung Cancer (Dishan rathi20),folder,Malignant,Benign,0.6392299771308899
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\Malignant cases\Malignant case (417).jpg,Malignant,KAGGLE::CT Scan Images for Lung Cancer (Dishan rathi20)|Data/train/Malignant cases::417,Kaggle::CT Scan Images for Lung Cancer (Dishan rathi20),folder,Malignant,Benign,0.7129041075706483
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\Malignant cases\Malignant case (426).jpg,Malignant,KAGGLE::CT Scan Images for Lung Cancer (Dishan rathi20)|Data/train/Malignant cases::426,Kaggle::CT Scan Images for Lung Cancer (Dishan rathi20),folder,Malignant,Benign,0.6882011234760285
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\Malignant cases\Malignant case (425).jpg,Malignant,KAGGLE::CT Scan Images for Lung Cancer (Dishan rathi20)|Data/train/Malignant cases::425,Kaggle::CT Scan Images for Lung Cancer (Dishan rathi20),folder,Malignant,Normal,0.3928307622671128
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\normal\Normal case (132).jpg,Normal,KAGGLE::CT Scan Images for Lung Cancer (Dishan rathi20)|Data/train/normal::132,Kaggle::CT Scan Images for Lung Cancer (Dishan rathi20),folder,Normal,Benign,0.5907029449939728
D:\skripsi\Dataset\The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )\Bengin cases\Bengin case (99).jpg,Benign,KAGGLE::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )|Bengin cases::99,Kaggle::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),folder,Benign,Normal,0.5502832472324372
D:\skripsi\Dataset\The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )\Bengin cases\Bengin case (98).jpg,Benign,KAGGLE::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )|Bengin cases::98,Kaggle::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),folder,Benign,Normal,0.8467108249664307
