path,canonical_label,split_group,source_dataset,label_origin,true_label,pred_label,pred_confidence
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\Malignant cases\Malignant case (421).jpg,Malignant,KAGGLE::CT Scan Images for Lung Cancer (Dishan rathi20)|Data/train/Malignant cases::421,Kaggle::CT Scan Images for Lung Cancer (Dishan rathi20),folder,Malignant,Normal,0.501180899143219
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\Malignant cases\Malignant case (417).jpg,Malignant,KAGGLE::CT Scan Images for Lung Cancer (Dishan rathi20)|Data/train/Malignant cases::417,Kaggle::CT Scan Images for Lung Cancer (Dishan rathi20),folder,Malignant,Benign,0.46395121812820433
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\Malignant cases\Malignant case (426).jpg,Malignant,KAGGLE::CT Scan Images for Lung Cancer (Dishan rathi20)|Data/train/Malignant cases::426,Kaggle::CT Scan Images for Lung Cancer (Dishan rathi20),folder,Malignant,Normal,0.6805668532848359
D:\skripsi\Dataset\CT Scan Images for Lung Cancer (Dishan rathi20)\Data\train\Malignant cases\Malignant case (425).jpg,Malignant,KAGGLE::CT Scan Images for Lung Cancer (Dishan rathi20)|Data/train/Malignant cases::425,Kaggle::CT Scan Images for Lung Cancer (Dishan rathi20),folder,Malignant,Normal,0.5818143010139466
D:\skripsi\Dataset\The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )\Bengin cases\Bengin case (99).jpg,Benign,KAGGLE::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )|Bengin cases::99,Kaggle::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),folder,Benign,Normal,0.631016731262207
D:\skripsi\Dataset\The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )\Bengin cases\Bengin case (98).jpg,Benign,KAGGLE::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )|Bengin cases::98,Kaggle::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),folder,Benign,Normal,0.8346757173538208
D:\skripsi\Dataset\The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )\Bengin cases\Bengin case (97).jpg,Benign,KAGGLE::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )|Bengin cases::97,Kaggle::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),folder,Benign,Normal,0.9310702204704284
D:\skripsi\Dataset\The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )\Bengin cases\Bengin case (109).jpg,Benign,KAGGLE::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )|Bengin cases::109,Kaggle::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),folder,Benign,Normal,0.7952324032783509
D:\skripsi\Dataset\The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )\Bengin cases\Bengin case (108).jpg,Benign,KAGGLE::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )|Bengin cases::108,Kaggle::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),folder,Benign,Normal,0.6826850820332766
D:\skripsi\Dataset\The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )\Bengin cases\Bengin case (102).jpg,Benign,KAGGLE::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy )|Bengin cases::102,Kaggle::The IQ-OTHNCCD lung cancer dataset ( Hamdalla F. Al-Yasriy ),folder,Benign,Normal,0.8435079753398895
