model,accuracy,macro_f1,cancer_recall,benign_recall,roc_auc
efficientnet_b0_fold0,0.6542553191489362,0.6205671678684811,0.7083333333333334,0.41025641025641024,0.8103909108233918
efficientnet_b0_fold1,0.6382978723404256,0.5925987347214544,0.7222222222222222,0.3076923076923077,0.7989859936313305
efficientnet_b0_fold2,0.6702127659574468,0.6523260776781904,0.6388888888888888,0.5897435897435898,0.8201017968722204
efficientnet_b0_fold3,0.648936170212766,0.6326371128161409,0.5833333333333334,0.5897435897435898,0.8078341624757385
efficientnet_b0_fold4,0.6223404255319149,0.6003740695021135,0.5833333333333334,0.46153846153846156,0.804492922984013
resnet50_fold0,0.6542553191489362,0.6299439297369517,0.6527777777777778,0.48717948717948717,0.8149287533110722
resnet50_fold1,0.648936170212766,0.6005451134473115,0.8055555555555556,0.3076923076923077,0.8186726140831094
resnet50_fold2,0.6648936170212766,0.6452215001229745,0.625,0.5641025641025641,0.8268245554102416
resnet50_fold3,0.601063829787234,0.5936187477596784,0.4861111111111111,0.6153846153846154,0.8049064274475058
resnet50_fold4,0.6276595744680851,0.6032689826979091,0.5833333333333334,0.46153846153846156,0.8029826217962645
