model,accuracy,macro_f1,cancer_recall,benign_recall,roc_auc
efficientnet_b0_fold0,0.7471264367816092,0.673259791598892,0.7325227963525835,0.4857142857142857,0.892027000967587
efficientnet_b0_fold1,0.7394636015325671,0.6813268050704208,0.6930091185410334,0.5714285714285714,0.9020036104864763
efficientnet_b0_fold2,0.7413793103448276,0.680112020406637,0.7112462006079028,0.5714285714285714,0.9053468216208672
efficientnet_b0_fold3,0.6762452107279694,0.6203147758738113,0.6474164133738601,0.5428571428571428,0.8477877695683764
efficientnet_b0_fold4,0.7413793103448276,0.6815357677650397,0.7021276595744681,0.5714285714285714,0.9052829877297511
resnet50_fold0,0.7260536398467433,0.6732504337767495,0.7021276595744681,0.6571428571428571,0.8980156250147798
resnet50_fold1,0.7796934865900383,0.7193960620679022,0.78419452887538,0.6571428571428571,0.9272060723671064
resnet50_fold2,0.7681992337164751,0.7166505608683386,0.7446808510638298,0.7142857142857143,0.9153757584543637
resnet50_fold3,0.6781609195402298,0.63357084926428,0.6291793313069909,0.6428571428571429,0.8744020364952739
resnet50_fold4,0.6839080459770115,0.6422426190902952,0.6474164133738601,0.7,0.878971607832078
