model,accuracy,macro_f1,cancer_recall,benign_recall,roc_auc
efficientnet_b0_fold0,0.6637168141592921,0.6776948839638425,0.514018691588785,0.6666666666666666,0.8645335597072537
efficientnet_b0_fold1,0.6769911504424779,0.6873724841466776,0.5420560747663551,0.6666666666666666,0.8702044296562428
efficientnet_b0_fold2,0.7123893805309734,0.7186224036925261,0.5981308411214953,0.6862745098039216,0.8641049951271175
efficientnet_b0_fold3,0.6946902654867256,0.7002117697344135,0.5700934579439252,0.6274509803921569,0.8715223994089137
efficientnet_b0_fold4,0.7079646017699115,0.7043269629476526,0.6448598130841121,0.5490196078431373,0.8729054259820573
resnet50_fold0,0.6858407079646017,0.6799704865194262,0.5607476635514018,0.5490196078431373,0.8564922707124571
resnet50_fold1,0.7345132743362832,0.7241989353929652,0.6915887850467289,0.5294117647058824,0.8611670738724134
resnet50_fold2,0.7168141592920354,0.7159010023107387,0.6542056074766355,0.5882352941176471,0.8645805488092946
resnet50_fold3,0.6991150442477876,0.7005363042643103,0.5700934579439252,0.6078431372549019,0.8604136780703054
resnet50_fold4,0.7212389380530974,0.7205563143677138,0.6074766355140186,0.6274509803921569,0.8736207362001546
