model,accuracy,macro_f1,cancer_recall,benign_recall,roc_auc
efficientnet_b0_fold0,0.6872246696035242,0.6716977409489987,0.6694915254237288,0.4827586206896552,0.8101268411554244
efficientnet_b0_fold1,0.6211453744493393,0.6185931733586758,0.559322033898305,0.5,0.8034622566412043
efficientnet_b0_fold2,0.6387665198237885,0.633246296734812,0.576271186440678,0.5,0.7946961910759565
efficientnet_b0_fold3,0.6343612334801763,0.5998209040762231,0.6864406779661016,0.29310344827586204,0.7828898393466006
efficientnet_b0_fold4,0.6519823788546255,0.6486454757363848,0.5932203389830508,0.5344827586206896,0.8126737550299143
resnet50_fold0,0.6828193832599119,0.6597625292607948,0.6864406779661016,0.41379310344827586,0.8105788344960757
resnet50_fold1,0.6519823788546255,0.6370236269968891,0.6440677966101694,0.43103448275862066,0.7975102390953498
resnet50_fold2,0.6784140969162996,0.6619411672378162,0.652542372881356,0.46551724137931033,0.8072898384842498
resnet50_fold3,0.6563876651982379,0.6374550566690305,0.6779661016949152,0.41379310344827586,0.7806996300240604
resnet50_fold4,0.6872246696035242,0.6728442611210231,0.6694915254237288,0.5,0.7940199528684717
