model,accuracy,macro_f1,cancer_recall,benign_recall,roc_auc
efficientnet_b0_fold0,0.7126696832579186,0.6651527060136332,0.71,0.71875,0.8951837204834677
efficientnet_b0_fold1,0.6764705882352942,0.6381325808067917,0.65,0.71875,0.8936061464759776
efficientnet_b0_fold2,0.6606334841628959,0.6245520986499044,0.63,0.796875,0.8775663554708336
efficientnet_b0_fold3,0.6583710407239819,0.6155135335691592,0.64,0.71875,0.8811532776908363
efficientnet_b0_fold4,0.6900452488687783,0.6548467098534051,0.6533333333333333,0.734375,0.894764091801154
resnet50_fold0,0.7375565610859729,0.6841670923253735,0.7366666666666667,0.6875,0.9071210079253372
resnet50_fold1,0.755656108597285,0.6842136047259754,0.7833333333333333,0.578125,0.9027288286387917
resnet50_fold2,0.6945701357466063,0.6544371781713554,0.6766666666666666,0.703125,0.8948307131304153
resnet50_fold3,0.753393665158371,0.6836368294810198,0.7733333333333333,0.59375,0.9042519906402401
resnet50_fold4,0.7330316742081447,0.6774923734676057,0.7266666666666667,0.6875,0.9102065373191005
