model,accuracy,macro_f1,cancer_recall,benign_recall,roc_auc
efficientnet_b0_fold0,0.7198364008179959,0.6519744460594737,0.7138263665594855,0.5294117647058824,0.887318441363324
efficientnet_b0_fold1,0.7382413087934561,0.6881373393959206,0.7202572347266881,0.7058823529411765,0.8943589875159486
efficientnet_b0_fold2,0.7361963190184049,0.6850751140564627,0.7106109324758842,0.6764705882352942,0.8924424325487159
efficientnet_b0_fold3,0.7259713701431493,0.6722678909859509,0.6945337620578779,0.6176470588235294,0.8835946805295066
efficientnet_b0_fold4,0.7259713701431493,0.6751049379256283,0.7041800643086816,0.6617647058823529,0.8895965346712661
resnet50_fold0,0.8016359918200409,0.7336268902465445,0.8102893890675241,0.5882352941176471,0.9240047105493715
resnet50_fold1,0.7852760736196319,0.70565890027959,0.8070739549839229,0.5,0.9215086303494537
resnet50_fold2,0.7750511247443763,0.713731657303021,0.7781350482315113,0.6470588235294118,0.9088242718314349
resnet50_fold3,0.7566462167689162,0.7156557016030161,0.7170418006430869,0.75,0.9127815742123658
resnet50_fold4,0.7934560327198364,0.7075883926947757,0.8231511254019293,0.47058823529411764,0.9173151683810636
