model,accuracy,macro_f1,cancer_recall,benign_recall,roc_auc
efficientnet_b0_fold0,0.6787330316742082,0.6525536900176098,0.63,0.78125,0.8984329809119895
efficientnet_b0_fold1,0.6877828054298643,0.6640034454248037,0.6333333333333333,0.796875,0.9010442712800287
efficientnet_b0_fold2,0.6923076923076923,0.6651625435220817,0.64,0.734375,0.9021645998883946
efficientnet_b0_fold3,0.7058823529411765,0.67008547008547,0.6866666666666666,0.6875,0.904510246288528
efficientnet_b0_fold4,0.6719457013574661,0.647283663565995,0.5966666666666667,0.734375,0.8935738255230851
resnet50_fold0,0.744343891402715,0.6813782795650861,0.7633333333333333,0.59375,0.8967484961268819
resnet50_fold1,0.7624434389140271,0.6931197568267491,0.79,0.625,0.9013076100238658
resnet50_fold2,0.7375565610859729,0.6808221683435777,0.74,0.609375,0.8967039649321159
resnet50_fold3,0.7601809954751131,0.6920852048455152,0.79,0.546875,0.9027493782826258
resnet50_fold4,0.7873303167420814,0.6982764488804758,0.8566666666666667,0.5,0.9047942479462208
