t=0.50  acc=0.757  macroF1=0.708  cancerRecall=0.711  cancerPrecision=0.967
t=0.45  acc=0.762  macroF1=0.711  cancerRecall=0.723  cancerPrecision=0.964
t=0.40  acc=0.774  macroF1=0.718  cancerRecall=0.751  cancerPrecision=0.954
t=0.35  acc=0.797  macroF1=0.732  cancerRecall=0.805  cancerPrecision=0.936
t=0.30  acc=0.810  macroF1=0.736  cancerRecall=0.845  cancerPrecision=0.921
t=0.25  acc=0.808  macroF1=0.713  cancerRecall=0.881  cancerPrecision=0.887
t=0.20  acc=0.812  macroF1=0.696  cancerRecall=0.912  cancerPrecision=0.865
t=0.15  acc=0.808  macroF1=0.668  cancerRecall=0.933  cancerPrecision=0.846
t=0.10  acc=0.787  macroF1=0.627  cancerRecall=0.945  cancerPrecision=0.812

Saved: D:\skripsi\Kodingan\outputs\reports\threshold_sweep_combined.csv
