Device: cuda

=== efficientnet_b0 fold 0 === train=866 val=216 class_weights=[1.5440000295639038, 0.7350000143051147, 1.0089999437332153]
  [A-head] epoch 1/12 lr=1.0e-03 train_loss=0.8562 train_acc=0.575 val_loss=0.8450 val_acc=0.639 val_macroF1=0.645 val_cancerRecall=0.602 (39.3s)
  [A-head] epoch 2/12 lr=1.0e-03 train_loss=0.7233 train_acc=0.670 val_loss=0.7043 val_acc=0.653 val_macroF1=0.648 val_cancerRecall=0.673 (13.4s)
  [A-head] epoch 3/12 lr=1.0e-03 train_loss=0.6733 train_acc=0.671 val_loss=0.6485 val_acc=0.699 val_macroF1=0.701 val_cancerRecall=0.612 (12.9s)
  [A-head] epoch 4/12 lr=1.0e-03 train_loss=0.6356 train_acc=0.687 val_loss=0.6414 val_acc=0.694 val_macroF1=0.700 val_cancerRecall=0.582 (12.9s)
  [A-head] epoch 5/12 lr=1.0e-03 train_loss=0.6252 train_acc=0.714 val_loss=0.6270 val_acc=0.681 val_macroF1=0.690 val_cancerRecall=0.531 (12.9s)
  [A-head] epoch 6/12 lr=1.0e-03 train_loss=0.5900 train_acc=0.689 val_loss=0.5815 val_acc=0.708 val_macroF1=0.705 val_cancerRecall=0.612 (12.9s)
  [A-head] epoch 7/12 lr=1.0e-03 train_loss=0.5823 train_acc=0.707 val_loss=0.5764 val_acc=0.685 val_macroF1=0.671 val_cancerRecall=0.704 (12.8s)
  [A-head] epoch 8/12 lr=1.0e-03 train_loss=0.6002 train_acc=0.672 val_loss=0.5760 val_acc=0.731 val_macroF1=0.731 val_cancerRecall=0.633 (12.8s)
  [A-head] epoch 9/12 lr=1.0e-03 train_loss=0.5880 train_acc=0.708 val_loss=0.5790 val_acc=0.718 val_macroF1=0.711 val_cancerRecall=0.673 (12.9s)
  [A-head] epoch 10/12 lr=1.0e-03 train_loss=0.5625 train_acc=0.730 val_loss=0.5878 val_acc=0.704 val_macroF1=0.708 val_cancerRecall=0.551 (12.9s)
  [A-head] epoch 11/12 lr=1.0e-03 train_loss=0.5632 train_acc=0.707 val_loss=0.5510 val_acc=0.718 val_macroF1=0.707 val_cancerRecall=0.684 (12.8s)
  [A-head] epoch 12/12 lr=1.0e-03 train_loss=0.5618 train_acc=0.722 val_loss=0.5684 val_acc=0.713 val_macroF1=0.713 val_cancerRecall=0.622 (12.8s)
  [B-finetune] epoch 1/25 lr=1.0e-05 train_loss=0.5391 train_acc=0.746 val_loss=0.5551 val_acc=0.727 val_macroF1=0.719 val_cancerRecall=0.643 (16.4s)
  [B-finetune] epoch 2/25 lr=1.0e-05 train_loss=0.5263 train_acc=0.730 val_loss=0.5497 val_acc=0.713 val_macroF1=0.714 val_cancerRecall=0.612 (12.9s)
  [B-finetune] epoch 3/25 lr=1.0e-05 train_loss=0.5162 train_acc=0.762 val_loss=0.5494 val_acc=0.727 val_macroF1=0.729 val_cancerRecall=0.592 (12.9s)
  [B-finetune] epoch 4/25 lr=1.0e-05 train_loss=0.5428 train_acc=0.758 val_loss=0.5438 val_acc=0.694 val_macroF1=0.697 val_cancerRecall=0.602 (12.9s)
  [B-finetune] epoch 5/25 lr=1.0e-05 train_loss=0.5238 train_acc=0.737 val_loss=0.5242 val_acc=0.722 val_macroF1=0.721 val_cancerRecall=0.602 (12.9s)
  [B-finetune] epoch 6/25 lr=1.0e-05 train_loss=0.5365 train_acc=0.740 val_loss=0.5209 val_acc=0.713 val_macroF1=0.707 val_cancerRecall=0.622 (12.9s)
  [B-finetune] epoch 7/25 lr=5.0e-06 train_loss=0.5109 train_acc=0.754 val_loss=0.5300 val_acc=0.722 val_macroF1=0.724 val_cancerRecall=0.561 (12.9s)
  [B-finetune] epoch 8/25 lr=5.0e-06 train_loss=0.4751 train_acc=0.776 val_loss=0.5153 val_acc=0.708 val_macroF1=0.709 val_cancerRecall=0.561 (12.8s)
  [B-finetune] epoch 9/25 lr=5.0e-06 train_loss=0.5606 train_acc=0.778 val_loss=0.5264 val_acc=0.736 val_macroF1=0.735 val_cancerRecall=0.612 (12.9s)
  [B-finetune] epoch 10/25 lr=5.0e-06 train_loss=0.5229 train_acc=0.777 val_loss=0.5248 val_acc=0.731 val_macroF1=0.731 val_cancerRecall=0.592 (12.8s)
