Device: cuda

=== efficientnet_b0 fold 0 === train=865 val=216 class_weights=[1.3860000371932983, 0.6489999890327454, 1.3539999723434448]
  [A-head] epoch 1/12 lr=1.0e-03 train_loss=0.9636 train_acc=0.518 val_loss=0.8679 val_acc=0.644 val_macroF1=0.613 val_cancerRecall=0.714 (15.5s)
  [A-head] epoch 2/12 lr=1.0e-03 train_loss=0.8512 train_acc=0.616 val_loss=0.8193 val_acc=0.611 val_macroF1=0.603 val_cancerRecall=0.589 (14.7s)
  [A-head] epoch 3/12 lr=1.0e-03 train_loss=0.8195 train_acc=0.578 val_loss=0.7806 val_acc=0.653 val_macroF1=0.633 val_cancerRecall=0.652 (14.8s)
  [A-head] epoch 4/12 lr=1.0e-03 train_loss=0.7548 train_acc=0.643 val_loss=0.7636 val_acc=0.639 val_macroF1=0.623 val_cancerRecall=0.625 (14.3s)
  [A-head] epoch 5/12 lr=1.0e-03 train_loss=0.7653 train_acc=0.629 val_loss=0.7595 val_acc=0.634 val_macroF1=0.626 val_cancerRecall=0.580 (14.4s)
  [A-head] epoch 6/12 lr=1.0e-03 train_loss=0.7699 train_acc=0.655 val_loss=0.7806 val_acc=0.634 val_macroF1=0.635 val_cancerRecall=0.554 (14.4s)
  [A-head] epoch 7/12 lr=1.0e-03 train_loss=0.7522 train_acc=0.607 val_loss=0.7365 val_acc=0.648 val_macroF1=0.633 val_cancerRecall=0.625 (14.4s)
  [A-head] epoch 8/12 lr=1.0e-03 train_loss=0.7428 train_acc=0.639 val_loss=0.7217 val_acc=0.671 val_macroF1=0.654 val_cancerRecall=0.652 (14.3s)
  [A-head] epoch 9/12 lr=1.0e-03 train_loss=0.7617 train_acc=0.645 val_loss=0.7306 val_acc=0.630 val_macroF1=0.625 val_cancerRecall=0.545 (14.3s)
  [A-head] epoch 10/12 lr=1.0e-03 train_loss=0.7203 train_acc=0.630 val_loss=0.7095 val_acc=0.671 val_macroF1=0.649 val_cancerRecall=0.661 (14.3s)
  [A-head] epoch 11/12 lr=1.0e-03 train_loss=0.6967 train_acc=0.658 val_loss=0.6973 val_acc=0.694 val_macroF1=0.651 val_cancerRecall=0.750 (14.2s)
  [A-head] epoch 12/12 lr=1.0e-03 train_loss=0.7289 train_acc=0.639 val_loss=0.7090 val_acc=0.662 val_macroF1=0.645 val_cancerRecall=0.634 (14.4s)
  [B-finetune] epoch 1/25 lr=1.0e-05 train_loss=0.7523 train_acc=0.657 val_loss=0.6989 val_acc=0.685 val_macroF1=0.657 val_cancerRecall=0.705 (14.5s)
  [B-finetune] epoch 2/25 lr=1.0e-05 train_loss=0.6844 train_acc=0.665 val_loss=0.7023 val_acc=0.685 val_macroF1=0.669 val_cancerRecall=0.652 (14.3s)
  [B-finetune] epoch 3/25 lr=1.0e-05 train_loss=0.6886 train_acc=0.639 val_loss=0.7234 val_acc=0.657 val_macroF1=0.656 val_cancerRecall=0.554 (14.2s)
