split,label,filename,ext,path,width,height,mode
train,cancer,Lung MRI (1).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1).png,409,264,RGBA
train,cancer,Lung MRI (10).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (10).png,409,328,RGBA
train,cancer,Lung MRI (100).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (100).png,423,287,RGBA
train,cancer,Lung MRI (1000).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1000).png,512,512,RGBA
train,cancer,Lung MRI (1001).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1001).png,512,512,RGBA
train,cancer,Lung MRI (1002).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1002).png,512,512,RGBA
train,cancer,Lung MRI (1003).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1003).png,512,512,RGBA
train,cancer,Lung MRI (1004).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1004).png,512,512,RGBA
train,cancer,Lung MRI (1005).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1005).png,512,512,RGBA
train,cancer,Lung MRI (1006).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1006).png,512,512,RGBA
train,cancer,Lung MRI (1007).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1007).png,512,512,RGBA
train,cancer,Lung MRI (1008).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1008).png,512,512,RGBA
train,cancer,Lung MRI (1009).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1009).png,512,512,RGBA
train,cancer,Lung MRI (101).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (101).png,385,263,RGBA
train,cancer,Lung MRI (1010).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1010).png,512,512,RGBA
train,cancer,Lung MRI (1011).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1011).png,512,512,RGBA
train,cancer,Lung MRI (1012).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1012).png,512,512,RGBA
train,cancer,Lung MRI (1013).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1013).png,512,512,RGBA
train,cancer,Lung MRI (1014).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1014).png,512,512,RGBA
train,cancer,Lung MRI (1015).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1015).png,512,512,RGBA
train,cancer,Lung MRI (1016).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1016).png,512,512,RGBA
train,cancer,Lung MRI (1017).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1017).png,512,512,RGBA
train,cancer,Lung MRI (1018).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1018).png,512,512,RGBA
train,cancer,Lung MRI (1019).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1019).png,512,512,RGBA
train,cancer,Lung MRI (102).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (102).png,381,236,RGBA
train,cancer,Lung MRI (1020).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1020).png,512,512,RGBA
train,cancer,Lung MRI (1021).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1021).png,512,512,RGBA
train,cancer,Lung MRI (1022).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1022).png,512,512,RGBA
train,cancer,Lung MRI (1023).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1023).png,512,512,RGBA
train,cancer,Lung MRI (1024).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1024).png,512,512,RGBA
train,cancer,Lung MRI (1025).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1025).png,512,512,RGBA
train,cancer,Lung MRI (1026).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1026).png,512,512,RGBA
train,cancer,Lung MRI (1027).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1027).png,512,512,RGBA
train,cancer,Lung MRI (1028).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1028).png,512,512,RGBA
train,cancer,Lung MRI (1029).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1029).png,512,512,RGBA
train,cancer,Lung MRI (103).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (103).png,411,211,RGBA
train,cancer,Lung MRI (1030).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1030).png,512,512,RGBA
train,cancer,Lung MRI (1031).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1031).png,512,512,RGBA
train,cancer,Lung MRI (1032).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1032).png,512,512,RGBA
train,cancer,Lung MRI (1033).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1033).png,512,512,RGBA
train,cancer,Lung MRI (1034).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1034).png,512,512,RGBA
train,cancer,Lung MRI (1035).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1035).png,512,512,RGBA
train,cancer,Lung MRI (1036).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1036).png,512,512,RGBA
train,cancer,Lung MRI (1037).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1037).png,512,512,RGBA
train,cancer,Lung MRI (1038).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1038).png,512,512,RGBA
train,cancer,Lung MRI (1039).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1039).png,512,512,RGBA
train,cancer,Lung MRI (104).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (104).png,409,273,RGBA
train,cancer,Lung MRI (1040).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1040).png,512,512,RGBA
train,cancer,Lung MRI (1041).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1041).png,512,512,RGBA
train,cancer,Lung MRI (1042).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1042).png,512,512,RGBA
train,cancer,Lung MRI (1043).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1043).png,512,512,RGBA
train,cancer,Lung MRI (1044).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1044).png,512,512,RGBA
train,cancer,Lung MRI (1045).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1045).png,512,512,RGBA
train,cancer,Lung MRI (1046).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1046).png,512,512,RGBA
train,cancer,Lung MRI (1047).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1047).png,512,512,RGBA
train,cancer,Lung MRI (1048).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1048).png,512,512,RGBA
train,cancer,Lung MRI (1049).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1049).png,512,512,RGBA
train,cancer,Lung MRI (105).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (105).png,368,249,RGBA
train,cancer,Lung MRI (1050).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1050).png,512,512,RGBA
train,cancer,Lung MRI (1051).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1051).png,512,512,RGBA
train,cancer,Lung MRI (1052).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1052).png,512,512,RGBA
train,cancer,Lung MRI (1053).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1053).png,512,512,RGBA
train,cancer,Lung MRI (1054).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1054).png,512,512,RGBA
train,cancer,Lung MRI (1055).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1055).png,512,512,RGBA
train,cancer,Lung MRI (1056).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1056).png,512,512,RGBA
train,cancer,Lung MRI (1057).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1057).png,512,512,RGBA
train,cancer,Lung MRI (1058).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1058).png,512,512,RGBA
train,cancer,Lung MRI (1059).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1059).png,512,512,RGBA
train,cancer,Lung MRI (106).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (106).png,404,300,RGBA
train,cancer,Lung MRI (1060).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1060).png,512,512,RGBA
train,cancer,Lung MRI (1061).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1061).png,512,512,RGBA
train,cancer,Lung MRI (1062).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1062).png,512,512,RGBA
train,cancer,Lung MRI (1063).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1063).png,512,512,RGBA
train,cancer,Lung MRI (1064).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1064).png,512,512,RGBA
train,cancer,Lung MRI (1065).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1065).png,512,512,RGBA
train,cancer,Lung MRI (1066).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1066).png,512,512,RGBA
train,cancer,Lung MRI (1067).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1067).png,512,512,RGBA
train,cancer,Lung MRI (1068).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1068).png,512,512,RGBA
train,cancer,Lung MRI (1069).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1069).png,512,512,RGBA
train,cancer,Lung MRI (107).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (107).png,389,308,RGBA
train,cancer,Lung MRI (1070).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1070).png,512,512,RGBA
train,cancer,Lung MRI (1071).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1071).png,512,512,RGBA
train,cancer,Lung MRI (1072).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1072).png,512,512,RGBA
train,cancer,Lung MRI (1073).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1073).png,512,512,RGBA
train,cancer,Lung MRI (1074).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1074).png,512,512,RGBA
train,cancer,Lung MRI (1075).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1075).png,512,512,RGBA
train,cancer,Lung MRI (1076).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1076).png,512,512,RGBA
train,cancer,Lung MRI (1077).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1077).png,512,512,RGBA
train,cancer,Lung MRI (1078).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1078).png,512,512,RGBA
train,cancer,Lung MRI (1079).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1079).png,512,512,RGBA
train,cancer,Lung MRI (108).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (108).png,420,243,RGBA
