split,label,filename,ext,path,width,height,mode,new_split,dest_filename,dest_path
train,cancer,Lung MRI (624).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (624).png,252,200,RGB,train,train__Lung MRI (624).png,..\dataset_split\train\cancer\train__Lung MRI (624).png
train,no_cancer,LUNG MRI-NC (549).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (549).png,512,512,RGBA,train,train__LUNG MRI-NC (549).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (549).png
train,cancer,Lung MRI (675).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (675).png,512,512,RGBA,train,train__Lung MRI (675).png,..\dataset_split\train\cancer\train__Lung MRI (675).png
train,cancer,Lung MRI (557).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (557).png,420,323,RGBA,train,train__Lung MRI (557).png,..\dataset_split\train\cancer\train__Lung MRI (557).png
train,cancer,Lung MRI (563).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (563).png,383,316,RGBA,train,train__Lung MRI (563).png,..\dataset_split\train\cancer\train__Lung MRI (563).png
validate,no_cancer,LUNG MRI NC (385).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\no_cancer\LUNG MRI NC (385).png,512,512,RGBA,train,validate__LUNG MRI NC (385).png,..\dataset_split\train\no_cancer\validate__LUNG MRI NC (385).png
train,no_cancer,LUNG MRI-NC (1150).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (1150).png,512,512,RGBA,train,train__LUNG MRI-NC (1150).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (1150).png
train,no_cancer,LUNG MRI-NC (234).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (234).png,512,512,RGBA,train,train__LUNG MRI-NC (234).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (234).png
train,no_cancer,LUNG MRI-NC (622).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (622).png,512,512,RGBA,train,train__LUNG MRI-NC (622).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (622).png
train,no_cancer,LUNG MRI-NC (648).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (648).png,512,512,RGBA,train,train__LUNG MRI-NC (648).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (648).png
validate,cancer,Lung MRI (1330).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\cancer\Lung MRI (1330).png,440,311,RGBA,train,validate__Lung MRI (1330).png,..\dataset_split\train\cancer\validate__Lung MRI (1330).png
train,no_cancer,LUNG MRI-NC (526).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (526).png,512,512,RGBA,train,train__LUNG MRI-NC (526).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (526).png
train,no_cancer,LUNG MRI-NC (1128).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (1128).png,512,512,RGBA,train,train__LUNG MRI-NC (1128).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (1128).png
train,no_cancer,LUNG MRI-NC (111).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (111).png,512,512,RGBA,train,train__LUNG MRI-NC (111).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (111).png
validate,cancer,Lung MRI (1205).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\cancer\Lung MRI (1205).png,419,329,RGBA,train,validate__Lung MRI (1205).png,..\dataset_split\train\cancer\validate__Lung MRI (1205).png
train,cancer,Lung MRI (328).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (328).png,445,279,RGBA,train,train__Lung MRI (328).png,..\dataset_split\train\cancer\train__Lung MRI (328).png
train,cancer,Lung MRI (1042).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1042).png,512,512,RGBA,train,train__Lung MRI (1042).png,..\dataset_split\train\cancer\train__Lung MRI (1042).png
validate,cancer,Lung MRI (1179).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\cancer\Lung MRI (1179).png,355,252,RGBA,train,validate__Lung MRI (1179).png,..\dataset_split\train\cancer\validate__Lung MRI (1179).png
train,no_cancer,LUNG MRI-NC (800).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (800).png,512,512,RGBA,train,train__LUNG MRI-NC (800).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (800).png
validate,no_cancer,LUNG MRI NC (244).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\no_cancer\LUNG MRI NC (244).png,512,512,RGBA,train,validate__LUNG MRI NC (244).png,..\dataset_split\train\no_cancer\validate__LUNG MRI NC (244).png
train,no_cancer,LUNG MRI-NC (378).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (378).png,512,512,RGBA,train,train__LUNG MRI-NC (378).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (378).png
validate,cancer,Lung MRI (1342).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\cancer\Lung MRI (1342).png,419,191,RGBA,train,validate__Lung MRI (1342).png,..\dataset_split\train\cancer\validate__Lung MRI (1342).png
train,cancer,Lung MRI (762).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (762).png,512,512,RGBA,train,train__Lung MRI (762).png,..\dataset_split\train\cancer\train__Lung MRI (762).png
validate,no_cancer,LUNG MRI NC (433).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\no_cancer\LUNG MRI NC (433).png,512,512,RGBA,train,validate__LUNG MRI NC (433).png,..\dataset_split\train\no_cancer\validate__LUNG MRI NC (433).png
train,cancer,Lung MRI (970).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (970).png,512,512,RGBA,train,train__Lung MRI (970).png,..\dataset_split\train\cancer\train__Lung MRI (970).png
train,cancer,Lung MRI (822).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (822).png,512,512,RGBA,train,train__Lung MRI (822).png,..\dataset_split\train\cancer\train__Lung MRI (822).png
train,no_cancer,LUNG MRI-NC (827).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (827).png,512,512,RGBA,train,train__LUNG MRI-NC (827).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (827).png
train,no_cancer,LUNG MRI-NC (235).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (235).png,512,512,RGBA,train,train__LUNG MRI-NC (235).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (235).png
train,no_cancer,LUNG MRI-NC (1291).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (1291).png,512,512,RGBA,train,train__LUNG MRI-NC (1291).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (1291).png
validate,cancer,Lung MRI (1178).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\cancer\Lung MRI (1178).png,444,368,RGBA,train,validate__Lung MRI (1178).png,..\dataset_split\train\cancer\validate__Lung MRI (1178).png
train,cancer,Lung MRI (1051).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (1051).png,512,512,RGBA,train,train__Lung MRI (1051).png,..\dataset_split\train\cancer\train__Lung MRI (1051).png
train,cancer,Lung MRI (774).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (774).png,512,512,RGBA,train,train__Lung MRI (774).png,..\dataset_split\train\cancer\train__Lung MRI (774).png
train,no_cancer,LUNG MRI-NC (321).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (321).png,512,512,RGBA,train,train__LUNG MRI-NC (321).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (321).png
validate,no_cancer,LUNG MRI NC (101).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\no_cancer\LUNG MRI NC (101).png,543,475,RGBA,train,validate__LUNG MRI NC (101).png,..\dataset_split\train\no_cancer\validate__LUNG MRI NC (101).png
validate,no_cancer,LUNG MRI NC (403).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\no_cancer\LUNG MRI NC (403).png,512,512,RGBA,train,validate__LUNG MRI NC (403).png,..\dataset_split\train\no_cancer\validate__LUNG MRI NC (403).png
train,no_cancer,LUNG MRI-NC (149).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (149).png,512,512,RGBA,train,train__LUNG MRI-NC (149).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (149).png
train,no_cancer,LUNG MRI-NC (650).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (650).png,512,512,RGBA,train,train__LUNG MRI-NC (650).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (650).png
validate,no_cancer,LUNG MRI NC (92).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\no_cancer\LUNG MRI NC (92).png,847,533,RGBA,train,validate__LUNG MRI NC (92).png,..\dataset_split\train\no_cancer\validate__LUNG MRI NC (92).png
train,no_cancer,LUNG MRI-NC (832).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (832).png,512,512,RGBA,train,train__LUNG MRI-NC (832).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (832).png
train,cancer,Lung MRI (991).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (991).png,512,512,RGBA,train,train__Lung MRI (991).png,..\dataset_split\train\cancer\train__Lung MRI (991).png
validate,cancer,Lung MRI (1323).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\cancer\Lung MRI (1323).png,403,303,RGBA,train,validate__Lung MRI (1323).png,..\dataset_split\train\cancer\validate__Lung MRI (1323).png
validate,cancer,Lung MRI (914).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\cancer\Lung MRI (914).png,351,288,RGBA,train,validate__Lung MRI (914).png,..\dataset_split\train\cancer\validate__Lung MRI (914).png
train,no_cancer,LUNG MRI-NC (257).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (257).png,512,512,RGBA,train,train__LUNG MRI-NC (257).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (257).png
validate,no_cancer,LUNG MRI NC (384).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\no_cancer\LUNG MRI NC (384).png,512,512,RGBA,train,validate__LUNG MRI NC (384).png,..\dataset_split\train\no_cancer\validate__LUNG MRI NC (384).png
validate,cancer,Lung MRI (1262).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\cancer\Lung MRI (1262).png,456,315,RGBA,train,validate__Lung MRI (1262).png,..\dataset_split\train\cancer\validate__Lung MRI (1262).png
validate,no_cancer,LUNG MRI NC (376).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\no_cancer\LUNG MRI NC (376).png,512,512,RGBA,train,validate__LUNG MRI NC (376).png,..\dataset_split\train\no_cancer\validate__LUNG MRI NC (376).png
train,no_cancer,LUNG MRI-NC (217).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (217).png,512,512,RGBA,train,train__LUNG MRI-NC (217).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (217).png
validate,cancer,Lung MRI (1421).png,.png,..\dataset\lung_cancer_MRI_dataset\validate\cancer\Lung MRI (1421).png,512,512,RGBA,train,validate__Lung MRI (1421).png,..\dataset_split\train\cancer\validate__Lung MRI (1421).png
train,cancer,Lung MRI (667).png,.png,..\dataset\lung_cancer_MRI_dataset\train\cancer\Lung MRI (667).png,512,512,RGBA,train,train__Lung MRI (667).png,..\dataset_split\train\cancer\train__Lung MRI (667).png
train,no_cancer,LUNG MRI-NC (656).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (656).png,512,512,RGBA,train,train__LUNG MRI-NC (656).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (656).png
train,no_cancer,LUNG MRI-NC (784).png,.png,..\dataset\lung_cancer_MRI_dataset\train\no_cancer\LUNG MRI-NC (784).png,512,512,RGBA,train,train__LUNG MRI-NC (784).png,..\dataset_split\train\no_cancer\train__LUNG MRI-NC (784).png
